Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,R2_mean,R2_std
Random Forest,108.3499661797774,46.956366067774276,75.36395198522622,29.272765852400784,7.367909498894685,2.397423936280479,0.6243622404011081,0.34234852081426254
XGBoost,110.9545014253616,47.850313617544586,77.30801187023891,29.002291984298083,7.5125712102974465,2.3171136083834996,0.6055304596935441,0.36577300546652075
LightGBM,112.27112418414643,39.480803877517154,78.37463131870484,25.536914148529654,7.673554200489069,2.1699951307915817,0.6129895539339177,0.2907841833910511
Gradient Boosting,116.69921693142264,34.98190979794986,85.76720681800143,25.103652448137655,8.442104438057523,2.1909033687480473,0.5934634771352744,0.2429524907633825
