sale_id,catalogue,category,elevation,segment,grade,tier,price_mid_lkr,region,text_crop_change,text_keywords,temperature_2m_mean_mean,precipitation_sum_total_lag1,sunshine_duration_total_lag1,temperature_2m_mean_mean_lag1,precipitation_sum_total_lag2,sunshine_duration_total_lag2,temperature_2m_mean_mean_lag2,precipitation_sum_total_lag3,sunshine_duration_total_lag3,temperature_2m_mean_mean_lag3,sale_number,sale_year,sale_date_raw,avg_weather_severity,fx_usd
SALE_2023_42,off_grade,brokens_other,medium,unknown,unknown,unknown,635.0,uva_udapussellawa,unknown,showers|misty|mist|dull|heavy,20.23,117.4,156333.91,20.39,86.0,191141.8,21.09,61.1,216967.49,20.89,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,off_grade,fannings_ctc_better,low,unknown,unknown,unknown,,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,off_grade,fannings_ctc_better,high,unknown,unknown,unknown,770.0,nuwara_eliya,unknown,showers,15.66,131.0,162024.06,16.03,66.9,174172.14,16.71,48.1,185720.16,16.3,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,off_grade,fannings_ctc_better,medium,unknown,unknown,unknown,740.0,uva_udapussellawa,unknown,showers|misty|mist|dull|heavy,20.23,117.4,156333.91,20.39,86.0,191141.8,21.09,61.1,216967.49,20.89,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,off_grade,fannings_ctc_other,low,unknown,unknown,unknown,685.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,off_grade,fannings_ctc_other,high,unknown,unknown,unknown,,nuwara_eliya,unknown,showers,15.66,131.0,162024.06,16.03,66.9,174172.14,16.71,48.1,185720.16,16.3,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,off_grade,fannings_ctc_other,medium,unknown,unknown,unknown,690.0,uva_udapussellawa,unknown,showers|misty|mist|dull|heavy,20.23,117.4,156333.91,20.39,86.0,191141.8,21.09,61.1,216967.49,20.89,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,off_grade,fannings_orthodox_better,low,unknown,unknown,unknown,840.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,off_grade,fannings_orthodox_better,high,unknown,unknown,unknown,860.0,nuwara_eliya,unknown,showers,15.66,131.0,162024.06,16.03,66.9,174172.14,16.71,48.1,185720.16,16.3,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,off_grade,fannings_orthodox_better,medium,unknown,unknown,unknown,750.0,uva_udapussellawa,unknown,showers|misty|mist|dull|heavy,20.23,117.4,156333.91,20.39,86.0,191141.8,21.09,61.1,216967.49,20.89,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,off_grade,fannings_orthodox_other,low,unknown,unknown,unknown,665.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,off_grade,fannings_orthodox_other,high,unknown,unknown,unknown,670.0,nuwara_eliya,unknown,showers,15.66,131.0,162024.06,16.03,66.9,174172.14,16.71,48.1,185720.16,16.3,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,off_grade,fannings_orthodox_other,medium,unknown,unknown,unknown,675.0,uva_udapussellawa,unknown,showers|misty|mist|dull|heavy,20.23,117.4,156333.91,20.39,86.0,191141.8,21.09,61.1,216967.49,20.89,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,fbop,low_grown,unknown,fbop,select_best,2100.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,fbop,low_grown,unknown,fbop,best,1350.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,fbop,low_grown,unknown,fbop,below_best,1050.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,fbop,low_grown,unknown,fbop,others,950.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,fbop1,low_grown,unknown,fbop1,select_best,1725.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,fbop1,low_grown,unknown,fbop1,best,1250.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,fbop1,low_grown,unknown,fbop1,below_best,975.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,fbop1,low_grown,unknown,fbop1,others,875.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,fbopf,low_grown,unknown,fbopf,select_best,1600.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,fbopf,low_grown,unknown,fbopf,best,1050.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,fbopf,low_grown,unknown,fbopf,below_best,925.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,fbopf,low_grown,unknown,fbopf,others,825.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,fbopf1,low_grown,unknown,fbopf1,select_best,1525.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,fbopf1,low_grown,unknown,fbopf1,best,1275.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,fbopf1,low_grown,unknown,fbopf1,below_best,950.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,fbopf1,low_grown,unknown,fbopf1,others,825.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,fbopf_tippy,low_grown,unknown,fbopf_tippy,select_best,2750.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
SALE_2023_42,low_grown,fbopf_tippy,low_grown,unknown,fbopf_tippy,best,1800.0,low_grown,decrease,unknown,24.4,65.2,154747.77,25.03,191.6,140305.23,25.09,169.6,138530.06,24.86,42,2023.0,24TH/25TH October 2023,3.0,320.81
