Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,R2_mean,R2_std,Forecast_Horizon,RMSE_rank,R2_rank,RMSE_cv_pct,R2_cv_pct
LightGBM,137.95384408018862,19.831887877941867,83.35932004937612,12.05601280335949,6.8941111309716545,1.0296778317624107,0.9515190700300897,0.008692601615756874,t_plus_1_week,1,1,14.375741401170494,0.913549910826484
Gradient Boosting,140.14363503864493,19.352111869215303,89.29553124662833,11.013815238392954,7.4499978362534645,0.8018683656273703,0.9498753126871721,0.009255445214169346,t_plus_1_week,2,2,13.808769741043832,0.9743852788410657
XGBoost,141.91495065295484,21.115996699014744,83.64291840535732,10.60005433874474,6.819049775604176,0.9777186156902365,0.9479879746811308,0.013677840573889604,t_plus_1_week,3,4,14.879332023764533,1.4428284893055041
Random Forest,142.28291175385635,21.39882129822291,82.70378323108385,11.960835430453098,6.72198353752692,0.9528664719495819,0.9482699539848168,0.010783223532752179,t_plus_1_week,4,3,15.039628465884928,1.1371470209974441
