sale_id,elevation,grade,tier,price_lo_lkr,price_hi_lkr
SALE_10_2026,low_grown,fbopf1,below_best,1250.0,1300.0
SALE_10_2026,low_grown,fbopf1,others,900.0,950.0
SALE_10_2026,low_grown,fbopf,select_best,1400.0,1500.0
SALE_10_2026,low_grown,fbopf,best,1300.0,1350.0
SALE_10_2026,low_grown,fbopf,below_best,1200.0,1250.0
SALE_10_2026,low_grown,fbopf,others,900.0,1000.0
SALE_10_2026,low_grown,fbop1,select_best,1650.0,1950.0
SALE_10_2026,low_grown,fbop1,best,1400.0,1500.0
SALE_10_2026,low_grown,fbop1,below_best,1300.0,1350.0
SALE_10_2026,low_grown,fbop1,others,900.0,950.0
SALE_10_2026,low_grown,fbop,select_best,1800.0,2500.0
SALE_10_2026,low_grown,fbop,best,1600.0,1650.0
SALE_10_2026,low_grown,fbop,below_best,1300.0,1350.0
SALE_10_2026,low_grown,fbop,others,900.0,950.0
SALE_10_2026,low_grown,bop1,select_best,2250.0,2950.0
SALE_10_2026,low_grown,bop1,best,1650.0,2250.0
SALE_10_2026,low_grown,bop1,below_best,1220.0,1500.0
SALE_10_2026,low_grown,bop1,others,900.0,1200.0
SALE_10_2026,low_grown,bopf,select_best,1300.0,1400.0
SALE_10_2026,low_grown,bopf,best,900.0,1000.0
SALE_10_2026,low_grown,bopf,below_best,800.0,850.0
SALE_10_2026,low_grown,bopf,others,750.0,780.0
SALE_10_2026,low_grown,bop,select_best,1500.0,1800.0
SALE_10_2026,low_grown,bop,best,1400.0,1450.0
SALE_10_2026,low_grown,bop,below_best,1050.0,1150.0
SALE_10_2026,low_grown,bop,others,900.0,950.0
SALE_10_2026,low_grown,op1,select_best,3100.0,3700.0
SALE_10_2026,low_grown,op1,best,2550.0,3050.0
SALE_10_2026,low_grown,op1,below_best,1800.0,2500.0
SALE_10_2026,low_grown,op1,others,950.0,1750.0
SALE_10_2026,low_grown,opa,select_best,1550.0,1950.0
SALE_10_2026,low_grown,opa,best,1360.0,1500.0
SALE_10_2026,low_grown,opa,below_best,1260.0,1340.0
SALE_10_2026,low_grown,opa,others,850.0,1240.0
SALE_10_2026,low_grown,op,select_best,1550.0,1650.0
SALE_10_2026,low_grown,op,best,1440.0,1500.0
SALE_10_2026,low_grown,op,below_best,1300.0,1420.0
SALE_10_2026,low_grown,op,others,850.0,1280.0
SALE_10_2026,low_grown,pekoe,select_best,1480.0,2650.0
