sale_id,auction_date,region,region_label,lat,lon,pdf_source,text_condition_score,text_crop_change,text_has_rain,text_has_mist,text_has_bright,text_has_thunder,text_keywords,text_raw_summary,temperature_2m_max_mean,temperature_2m_max_max,temperature_2m_max_min,temperature_2m_min_mean,temperature_2m_min_max,temperature_2m_min_min,temperature_2m_mean_mean,temperature_2m_mean_max,temperature_2m_mean_min,precipitation_sum_total,precipitation_sum_max_day,rain_sum_total,rain_sum_max_day,windspeed_10m_max_mean,windspeed_10m_max_max,windspeed_10m_max_min,sunshine_duration_total,sunshine_duration_max_day,et0_fao_evapotranspiration_total,et0_fao_evapotranspiration_max_day,relative_humidity_2m_max_mean,relative_humidity_2m_max_max,relative_humidity_2m_max_min,relative_humidity_2m_min_mean,relative_humidity_2m_min_max,relative_humidity_2m_min_min,fetch_start,fetch_end,precipitation_sum_total_lag1,precipitation_sum_total_lag2,precipitation_sum_total_lag3,rain_sum_total_lag1,rain_sum_total_lag2,rain_sum_total_lag3,temperature_2m_mean_mean_lag1,temperature_2m_mean_mean_lag2,temperature_2m_mean_mean_lag3,sunshine_duration_total_lag1,sunshine_duration_total_lag2,sunshine_duration_total_lag3,relative_humidity_2m_max_max_lag1,relative_humidity_2m_max_max_lag2,relative_humidity_2m_max_max_lag3,text_condition_score_lag1,text_condition_score_lag2,text_condition_score_lag3
SALE_36_2025,2025-09-16,uva_udapussellawa,Uva / Uda Pussellawa,6.87,81.06,Sale of 16 & 17 September 2025.pdf,1,unknown,0,0,1,0,sunny,"Uva/Udapussellawa Regions
Both regions reported sunny weather throughout the week.
Overcast conditions are expected in the Uva and Uda Pussellawa
regions, in the week ahead.",27.69,29.1,26.8,17.21,18.8,16.4,21.74,22.3,21.4,33.0,19.7,33.0,19.7,8.06,10.3,5.8,253919.14,40681.38,28.08,4.49,93.29,98.0,88.0,51.29,64.0,44.0,2025-09-09,2025-09-15,15.4,18.7,16.9,15.4,18.7,16.9,23.04,23.36,22.26,206072.35,281036.87,230636.59,99.0,98.0,100.0,0.0,0.0,-1.0
SALE_37_2024,2024-09-18,uva_udapussellawa,Uva / Uda Pussellawa,6.87,81.06,Sale of 18 & 19 September 2024.pdf,0,unknown,1,0,1,0,bright|showers,"Uva/Udapussellawa Regions
The Uva and Uda Pussellawa regions reported bright weather
throughout the week. The Department of Meteorology expects
showers in the Uva Region in the week ahead.",29.27,29.9,28.6,19.57,20.6,19.0,23.77,24.0,23.3,9.3,5.4,9.3,5.4,7.23,8.9,6.1,273541.77,40974.3,31.75,4.79,87.0,95.0,79.0,46.57,52.0,40.0,2024-09-11,2024-09-17,33.0,15.4,18.7,33.0,15.4,18.7,21.74,23.04,23.36,253919.14,206072.35,281036.87,98.0,99.0,98.0,1.0,0.0,0.0
SALE_38_2024,2024-09-24,uva_udapussellawa,Uva / Uda Pussellawa,6.87,81.06,Sale of 24 & 25 September 2024.pdf,0,unknown,1,0,1,0,bright|showers,"Uva/Udapussellawa Regions
Bright weather was reported in the Uva and Uda Pussellawa
regions throughout the week. Showers are expected in the Uva
Region in the week ahead according to the Department of
Meteorology.",30.54,31.1,29.2,17.83,19.9,16.4,23.7,24.0,23.3,2.5,1.3,2.5,1.3,10.89,12.8,6.1,276924.3,41237.36,36.19,5.57,84.57,95.0,80.0,33.86,43.0,27.0,2024-09-17,2024-09-23,9.3,33.0,15.4,9.3,33.0,15.4,23.77,21.74,23.04,273541.77,253919.14,206072.35,95.0,98.0,99.0,0.0,1.0,0.0
SALE_38_2025,2025-09-29,uva_udapussellawa,Uva / Uda Pussellawa,6.87,81.06,Sale of 29 & 30 September 2025.pdf,-1,unknown,1,0,1,0,bright|showers|rain,"Uva/Udapussellawa Regions
Both regions reported bright weather and intermittent showers
throughout the week. The Department of Meteorology expects
rain in both regions in the week ahead.",28.14,30.1,25.4,19.0,20.3,18.2,22.6,23.5,21.8,20.7,7.8,20.7,7.8,9.59,12.9,7.6,221033.04,40805.25,26.64,4.67,92.57,97.0,84.0,49.0,62.0,40.0,2025-09-22,2025-09-28,2.5,9.3,33.0,2.5,9.3,33.0,23.7,23.77,21.74,276924.3,273541.77,253919.14,95.0,95.0,98.0,0.0,0.0,1.0
SALE_39_2024,2024-10-01,uva_udapussellawa,Uva / Uda Pussellawa,6.87,81.06,Sale of 1 & 2 October 2024.pdf,0,unknown,1,0,1,0,sunny|showers,"Uva/Udapussellawa Regions
The Uva and Uda Pussellawa regions reported sunny mornings
and occasional evening showers throughout the week.",27.43,30.0,25.0,18.56,19.2,17.8,22.17,24.2,20.5,57.2,12.5,57.2,12.5,8.76,10.8,6.2,212466.78,41304.96,26.55,5.04,95.29,100.0,84.0,59.71,75.0,41.0,2024-09-24,2024-09-30,20.7,2.5,9.3,20.7,2.5,9.3,22.6,23.7,23.77,221033.04,276924.3,273541.77,97.0,95.0,95.0,-1.0,0.0,0.0
SALE_39_2025,2025-10-07,uva_udapussellawa,Uva / Uda Pussellawa,6.87,81.06,Sale of 7 & 8 October 2025.pdf,-1,unknown,1,0,1,0,bright|showers|rain,"Uva/Udapussellawa Regions
The Uva and Uda Pussellawa regions reported bright weather
and rain throughout the week. Intermittent showers are
expected in both regions according to the Department of
Meteorology.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.2,20.7,2.5,57.2,20.7,2.5,22.17,22.6,23.7,212466.78,221033.04,276924.3,100.0,97.0,95.0,0.0,-1.0,0.0
SALE_40_2024,2024-10-08,uva_udapussellawa,Uva / Uda Pussellawa,6.87,81.06,Sale of 8 & 9 October 2024.pdf,0,unknown,1,0,1,0,bright|showers,"Uva/Udapussellawa Regions
Both regions reported bright weather and occasional showers
throughout the week.",26.23,26.9,25.5,17.97,18.9,16.9,21.57,22.0,21.2,31.2,11.0,31.2,11.0,9.06,14.4,5.9,240182.48,40928.07,27.55,4.45,96.29,100.0,91.0,65.43,72.0,59.0,2024-10-01,2024-10-07,,57.2,20.7,,57.2,20.7,,22.17,22.6,,212466.78,221033.04,,100.0,97.0,-1.0,0.0,-1.0
SALE_40_2025,2025-10-14,uva_udapussellawa,Uva / Uda Pussellawa,6.87,81.06,Sale of 14 & 15 October 2025.pdf,0,unknown,1,0,1,0,bright|showers,"Uva/Udapussellawa Regions
Both regions reported bright weather and evening showers
throughout the week. According to the Department of
Meteorology, sporadic showers are expected in the Uva and
Uda Pussellawa regions in the week ahead.",25.9,26.8,25.0,16.69,17.5,15.9,20.53,21.0,20.2,56.5,16.6,56.5,16.6,7.67,10.1,4.9,239239.7,40911.89,26.28,4.71,98.43,99.0,98.0,63.29,69.0,55.0,2025-10-07,2025-10-13,31.2,,57.2,31.2,,57.2,21.57,,22.17,240182.48,,212466.78,100.0,,100.0,0.0,-1.0,0.0
SALE_41_2024,2024-10-15,uva_udapussellawa,Uva / Uda Pussellawa,6.87,81.06,Sale of 15 & 16 October 2024.pdf,-1,unknown,1,0,0,0,rain,"Uva/Udapussellawa Regions
The Uva and Uda Pussellawa regions reported rain throughout
the week.",23.83,24.5,22.8,18.64,19.5,17.7,20.69,21.1,20.3,140.3,29.6,140.3,29.6,6.26,7.6,4.3,70413.52,21612.42,15.43,2.98,99.71,100.0,98.0,79.43,82.0,76.0,2024-10-08,2024-10-14,56.5,31.2,,56.5,31.2,,20.53,21.57,,239239.7,240182.48,,99.0,100.0,,0.0,0.0,-1.0
SALE_41_2025,2025-10-21,uva_udapussellawa,Uva / Uda Pussellawa,6.87,81.06,Sale of 21 & 22 October 2025.pdf,-4,unknown,1,0,0,0,showers|rain|heavy,"Uva/Udapussellawa Regions
The Uva and Uda Pussellawa regions reported rain throughout
the week. Heavy showers are expected in both regions in the
week ahead according to the Department of Meteorology.",24.41,25.6,22.5,17.63,18.8,16.6,20.23,20.6,19.7,139.2,50.9,139.2,50.9,8.3,11.8,5.2,174660.08,38014.09,20.45,3.96,99.71,100.0,99.0,74.71,89.0,67.0,2025-10-14,2025-10-20,140.3,56.5,31.2,140.3,56.5,31.2,20.69,20.53,21.57,70413.52,239239.7,240182.48,100.0,99.0,100.0,-1.0,0.0,0.0
