sale_id,elevation,segment,grade,price_lo_lkr,price_hi_lkr
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,best_western,bop,1260.0,1360.0
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,best_western,bopf,1260.0,1320.0
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,best_western,pekoe_fbop,1240.0,1550.0
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,best_western,op,1080.0,1160.0
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,below_best_western,bop,1200.0,1240.0
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,below_best_western,bopf,1220.0,1240.0
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,below_best_western,pekoe_fbop,1120.0,1220.0
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,below_best_western,op,1020.0,1060.0
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,plainer_western,bop,1100.0,1180.0
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,plainer_western,bopf,1120.0,1200.0
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,plainer_western,pekoe_fbop,1080.0,
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,plainer_western,op,960.0,
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,brighter_udapussellawa,bop,1120.0,1140.0
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,brighter_udapussellawa,bopf,1160.0,1200.0
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,brighter_udapussellawa,pekoe_fbop,1340.0,1800.0
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,brighter_udapussellawa,op,1060.0,
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,other_udapussellawa,bop,1100.0,
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,other_udapussellawa,bopf,1100.0,1140.0
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,other_udapussellawa,pekoe_fbop,1140.0,
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,other_udapussellawa,op,1000.0,
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,best_uva,bop,1160.0,1220.0
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,best_uva,bopf,1160.0,1220.0
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,best_uva,pekoe_fbop,1260.0,1550.0
UNKNOWN_Sale of 30 December 2025.pdf,high_grown,best_uva,op,1040.0,1240.0
SALE_25_2025,high_grown,best_western,bop,1180.0,1480.0
SALE_25_2025,high_grown,best_western,bopf,1280.0,1500.0
SALE_25_2025,high_grown,best_western,pekoe_fbop,1260.0,1650.0
SALE_25_2025,high_grown,best_western,op,1000.0,1120.0
SALE_25_2025,high_grown,below_best_western,bop,920.0,1160.0
SALE_25_2025,high_grown,below_best_western,bopf,1100.0,1260.0
SALE_25_2025,high_grown,below_best_western,pekoe_fbop,1040.0,1240.0
SALE_25_2025,high_grown,below_best_western,op,940.0,1000.0
SALE_25_2025,high_grown,plainer_western,bop,820.0,900.0
SALE_25_2025,high_grown,plainer_western,bopf,830.0,1080.0
SALE_25_2025,high_grown,plainer_western,pekoe_fbop,830.0,1020.0
SALE_25_2025,high_grown,plainer_western,op,900.0,920.0
SALE_25_2025,high_grown,brighter_udapussellawa,bop,890.0,940.0
SALE_25_2025,high_grown,brighter_udapussellawa,bopf,960.0,1060.0
SALE_25_2025,high_grown,brighter_udapussellawa,pekoe_fbop,1200.0,1500.0
SALE_25_2025,high_grown,brighter_udapussellawa,op,980.0,1040.0
SALE_25_2025,high_grown,other_udapussellawa,bop,840.0,850.0
SALE_25_2025,high_grown,other_udapussellawa,bopf,850.0,880.0
SALE_25_2025,high_grown,other_udapussellawa,pekoe_fbop,880.0,1180.0
SALE_25_2025,high_grown,other_udapussellawa,op,850.0,960.0
SALE_25_2025,high_grown,best_uva,bop,1060.0,1120.0
SALE_25_2025,high_grown,best_uva,bopf,1160.0,1240.0
SALE_25_2025,high_grown,best_uva,pekoe_fbop,1240.0,1550.0
SALE_25_2025,high_grown,best_uva,op,1020.0,1140.0
SALE_25_2025,high_grown,other_uva,bop,880.0,1020.0
SALE_25_2025,high_grown,other_uva,bopf,940.0,1120.0
SALE_25_2025,high_grown,other_uva,pekoe_fbop,850.0,1220.0
SALE_25_2025,high_grown,other_uva,op,860.0,1000.0
SALE_39_2024,high_grown,best_western,bop,1360.0,1550.0
SALE_39_2024,high_grown,best_western,bopf,1320.0,1460.0
SALE_39_2024,high_grown,best_western,pekoe_fbop,1360.0,1850.0
SALE_39_2024,high_grown,best_western,op,1100.0,1380.0
SALE_39_2024,high_grown,below_best_western,bop,1180.0,1320.0
SALE_39_2024,high_grown,below_best_western,bopf,1240.0,1300.0
SALE_39_2024,high_grown,below_best_western,pekoe_fbop,1020.0,1340.0
SALE_39_2024,high_grown,below_best_western,op,1040.0,1080.0
SALE_39_2024,high_grown,plainer_western,bop,1080.0,1160.0
SALE_39_2024,high_grown,plainer_western,bopf,1140.0,1220.0
SALE_39_2024,high_grown,plainer_western,pekoe_fbop,760.0,1000.0
SALE_39_2024,high_grown,plainer_western,op,780.0,1020.0
SALE_39_2024,high_grown,brighter_udapussellawa,bop,1160.0,1220.0
SALE_39_2024,high_grown,brighter_udapussellawa,bopf,1180.0,1220.0
SALE_39_2024,high_grown,brighter_udapussellawa,pekoe_fbop,1140.0,2050.0
SALE_39_2024,high_grown,brighter_udapussellawa,op,1040.0,1240.0
SALE_39_2024,high_grown,other_udapussellawa,bop,1080.0,1140.0
SALE_39_2024,high_grown,other_udapussellawa,bopf,1120.0,1160.0
SALE_39_2024,high_grown,other_udapussellawa,pekoe_fbop,760.0,1120.0
SALE_39_2024,high_grown,other_udapussellawa,op,780.0,1080.0
SALE_39_2024,high_grown,best_uva,bop,1380.0,1400.0
SALE_39_2024,high_grown,best_uva,bopf,1340.0,1380.0
SALE_39_2024,high_grown,best_uva,pekoe_fbop,1260.0,1800.0
SALE_39_2024,high_grown,best_uva,op,1020.0,1320.0
SALE_39_2024,high_grown,other_uva,bop,1260.0,1280.0
SALE_39_2024,high_grown,other_uva,bopf,1160.0,1280.0
SALE_39_2024,high_grown,other_uva,pekoe_fbop,760.0,1240.0
SALE_39_2024,high_grown,other_uva,op,780.0,1000.0
SALE_34_2025,high_grown,best_western,bop,1300.0,1440.0
SALE_34_2025,high_grown,best_western,bopf,1360.0,1550.0
SALE_34_2025,high_grown,best_western,pekoe_fbop,1320.0,1950.0
SALE_34_2025,high_grown,best_western,op,1080.0,1140.0
SALE_34_2025,high_grown,below_best_western,bop,1200.0,1280.0
SALE_34_2025,high_grown,below_best_western,bopf,1240.0,1340.0
SALE_34_2025,high_grown,below_best_western,pekoe_fbop,1140.0,1300.0
SALE_34_2025,high_grown,below_best_western,op,1020.0,1040.0
SALE_34_2025,high_grown,plainer_western,bop,1000.0,1180.0
SALE_34_2025,high_grown,plainer_western,bopf,1100.0,1220.0
SALE_34_2025,high_grown,plainer_western,pekoe_fbop,840.0,1100.0
SALE_34_2025,high_grown,plainer_western,op,940.0,
SALE_34_2025,high_grown,brighter_udapussellawa,bop,1060.0,1120.0
SALE_34_2025,high_grown,brighter_udapussellawa,bopf,1120.0,1220.0
SALE_34_2025,high_grown,brighter_udapussellawa,pekoe_fbop,1340.0,1420.0
SALE_34_2025,high_grown,brighter_udapussellawa,op,1080.0,1160.0
SALE_34_2025,high_grown,other_udapussellawa,bop,940.0,1040.0
SALE_34_2025,high_grown,other_udapussellawa,bopf,980.0,1080.0
SALE_34_2025,high_grown,other_udapussellawa,pekoe_fbop,850.0,1220.0
SALE_34_2025,high_grown,other_udapussellawa,op,860.0,1060.0
SALE_34_2025,high_grown,best_uva,bop,1280.0,1340.0
SALE_34_2025,high_grown,best_uva,bopf,1240.0,1300.0
SALE_34_2025,high_grown,best_uva,pekoe_fbop,1420.0,1850.0
SALE_34_2025,high_grown,best_uva,op,1160.0,1280.0
SALE_34_2025,high_grown,other_uva,bop,1200.0,1220.0
