sale_id,elevation,grade,tier,price_lo_lkr,price_hi_lkr
SALE_33_2025,low_grown,fbopf_tippy,select_best,4350.0,5500.0
SALE_33_2025,low_grown,fbopf_tippy,best,3600.0,4000.0
SALE_33_2025,low_grown,fbopf_tippy,below_best,2500.0,3000.0
SALE_33_2025,low_grown,fbopf_tippy,others,1000.0,
SALE_33_2025,low_grown,fbopf1,select_best,1650.0,1750.0
SALE_33_2025,low_grown,fbopf1,best,1450.0,1500.0
SALE_33_2025,low_grown,fbopf1,below_best,1280.0,1300.0
SALE_33_2025,low_grown,fbopf1,others,900.0,950.0
SALE_33_2025,low_grown,fbopf,select_best,1700.0,1850.0
SALE_33_2025,low_grown,fbopf,best,1450.0,1550.0
SALE_33_2025,low_grown,fbopf,below_best,1150.0,1250.0
SALE_33_2025,low_grown,fbopf,others,900.0,950.0
SALE_33_2025,low_grown,fbop1,select_best,1800.0,1900.0
SALE_33_2025,low_grown,fbop1,best,1400.0,1450.0
SALE_33_2025,low_grown,fbop1,below_best,1250.0,1300.0
SALE_33_2025,low_grown,fbop1,others,1000.0,1100.0
SALE_33_2025,low_grown,fbop,select_best,1900.0,2400.0
SALE_33_2025,low_grown,fbop,best,1500.0,1600.0
SALE_33_2025,low_grown,fbop,below_best,1250.0,1300.0
SALE_33_2025,low_grown,fbop,others,950.0,1000.0
SALE_33_2025,low_grown,bop1,select_best,2400.0,2900.0
SALE_33_2025,low_grown,bop1,best,1850.0,2350.0
SALE_33_2025,low_grown,bop1,below_best,1100.0,1400.0
SALE_33_2025,low_grown,bop1,others,850.0,1080.0
SALE_33_2025,low_grown,bopf,select_best,1400.0,1600.0
SALE_33_2025,low_grown,bopf,best,950.0,1050.0
SALE_33_2025,low_grown,bopf,below_best,850.0,900.0
SALE_33_2025,low_grown,bopf,others,800.0,850.0
SALE_33_2025,low_grown,bop,select_best,2000.0,2300.0
SALE_33_2025,low_grown,bop,best,1450.0,1500.0
SALE_33_2025,low_grown,bop,below_best,1200.0,1300.0
SALE_33_2025,low_grown,bop,others,900.0,1000.0
SALE_33_2025,low_grown,op1,select_best,2400.0,3150.0
SALE_33_2025,low_grown,op1,best,2100.0,2350.0
SALE_33_2025,low_grown,op1,below_best,1360.0,2050.0
SALE_33_2025,low_grown,op1,others,880.0,1340.0
SALE_33_2025,low_grown,opa,select_best,1440.0,2000.0
SALE_33_2025,low_grown,opa,best,1260.0,1420.0
