sale_id,category_type,category,elevation,price_lo_lkr,price_hi_lkr
SALE_50_2025,off_grade,fannings_orthodox_other,low,530.0,830.0
SALE_50_2025,off_grade,fannings_ctc_other,high,,
SALE_50_2025,off_grade,fannings_ctc_other,medium,680.0,750.0
SALE_50_2025,off_grade,fannings_ctc_other,low,600.0,680.0
SALE_50_2025,off_grade,brokens_good,high,780.0,1060.0
SALE_50_2025,off_grade,brokens_good,medium,780.0,1140.0
SALE_50_2025,off_grade,brokens_good,low,780.0,1420.0
SALE_50_2025,off_grade,brokens_other,high,600.0,720.0
SALE_50_2025,off_grade,brokens_other,medium,500.0,730.0
SALE_50_2025,off_grade,brokens_other,low,450.0,730.0
SALE_50_2025,off_grade,bop1a_better,high,760.0,900.0
SALE_50_2025,off_grade,bop1a_better,medium,750.0,1080.0
SALE_50_2025,off_grade,bop1a_better,low,770.0,1400.0
SALE_50_2025,off_grade,bop1a_other,high,650.0,750.0
SALE_50_2025,off_grade,bop1a_other,medium,650.0,730.0
SALE_50_2025,off_grade,bop1a_other,low,620.0,750.0
SALE_50_2025,dust,primary_orth_better,high,1260.0,1700.0
SALE_50_2025,dust,primary_orth_better,medium,1140.0,1260.0
SALE_50_2025,dust,primary_orth_better,low,980.0,1000.0
SALE_50_2025,dust,primary_ctc_better,high,1140.0,
SALE_50_2025,dust,primary_ctc_better,medium,1140.0,1240.0
SALE_50_2025,dust,primary_ctc_better,low,1150.0,1460.0
SALE_50_2025,dust,primary_orth_below_best,high,1060.0,1240.0
SALE_50_2025,dust,primary_orth_below_best,medium,890.0,1120.0
SALE_50_2025,dust,primary_orth_below_best,low,770.0,960.0
SALE_50_2025,dust,primary_ctc_other,high,,
SALE_50_2025,dust,primary_ctc_other,medium,750.0,1120.0
SALE_50_2025,dust,primary_ctc_other,low,810.0,1140.0
SALE_50_2025,dust,primary_orth_other,high,820.0,1040.0
SALE_50_2025,dust,primary_orth_other,medium,810.0,880.0
SALE_50_2025,dust,primary_orth_other,low,630.0,760.0
SALE_50_2025,dust,secondary_better,high,1100.0,1300.0
SALE_50_2025,dust,secondary_better,medium,1000.0,1120.0
SALE_50_2025,dust,secondary_better,low,1000.0,1100.0
SALE_50_2025,dust,secondary_other,high,820.0,1080.0
SALE_50_2025,dust,secondary_other,medium,570.0,980.0
SALE_50_2025,dust,secondary_other,low,600.0,980.0
SALE_35_2025,off_grade,fannings_orthodox_better,high,810.0,1280.0
SALE_35_2025,off_grade,fannings_orthodox_better,medium,790.0,1020.0
SALE_35_2025,off_grade,fannings_orthodox_better,low,790.0,940.0
SALE_35_2025,off_grade,fannings_ctc_better,high,,
SALE_35_2025,off_grade,fannings_ctc_better,medium,770.0,790.0
SALE_35_2025,off_grade,fannings_ctc_better,low,770.0,840.0
SALE_35_2025,off_grade,fannings_orthodox_other,high,600.0,800.0
SALE_35_2025,off_grade,fannings_orthodox_other,medium,550.0,780.0
SALE_35_2025,off_grade,fannings_orthodox_other,low,550.0,780.0
SALE_35_2025,off_grade,fannings_ctc_other,high,,
SALE_35_2025,off_grade,fannings_ctc_other,medium,610.0,710.0
SALE_35_2025,off_grade,fannings_ctc_other,low,530.0,740.0
SALE_35_2025,off_grade,brokens_good,high,760.0,1000.0
SALE_35_2025,off_grade,brokens_good,medium,760.0,1100.0
SALE_35_2025,off_grade,brokens_good,low,780.0,1240.0
SALE_35_2025,off_grade,brokens_other,high,640.0,750.0
SALE_35_2025,off_grade,brokens_other,medium,600.0,750.0
SALE_35_2025,off_grade,brokens_other,low,550.0,770.0
SALE_35_2025,off_grade,bop1a_better,high,780.0,920.0
SALE_35_2025,off_grade,bop1a_better,medium,780.0,1060.0
SALE_35_2025,off_grade,bop1a_better,low,780.0,1500.0
SALE_35_2025,off_grade,bop1a_other,high,710.0,760.0
SALE_35_2025,off_grade,bop1a_other,medium,720.0,760.0
SALE_35_2025,off_grade,bop1a_other,low,610.0,770.0
SALE_35_2025,dust,primary_orth_better,high,1220.0,1650.0
SALE_35_2025,dust,primary_orth_better,medium,1080.0,1280.0
SALE_35_2025,dust,primary_orth_better,low,1080.0,1440.0
SALE_35_2025,dust,primary_ctc_better,high,1100.0,1220.0
SALE_35_2025,dust,primary_ctc_better,medium,1080.0,1160.0
SALE_35_2025,dust,primary_ctc_better,low,1100.0,1460.0
SALE_35_2025,dust,primary_orth_below_best,high,1020.0,1200.0
SALE_35_2025,dust,primary_orth_below_best,medium,940.0,1060.0
SALE_35_2025,dust,primary_orth_below_best,low,920.0,1060.0
SALE_35_2025,dust,primary_ctc_other,high,1060.0,1080.0
SALE_35_2025,dust,primary_ctc_other,medium,1020.0,1060.0
SALE_35_2025,dust,primary_ctc_other,low,940.0,1080.0
SALE_35_2025,dust,primary_orth_other,high,840.0,1000.0
SALE_35_2025,dust,primary_orth_other,medium,890.0,920.0
SALE_35_2025,dust,primary_orth_other,low,850.0,900.0
SALE_35_2025,dust,secondary_better,high,1000.0,1200.0
SALE_35_2025,dust,secondary_better,medium,810.0,1020.0
SALE_35_2025,dust,secondary_better,low,940.0,1020.0
SALE_35_2025,dust,secondary_other,high,580.0,980.0
SALE_35_2025,dust,secondary_other,medium,620.0,800.0
SALE_35_2025,dust,secondary_other,low,490.0,920.0
SALE_16_2025,off_grade,fannings_orthodox_better,high,800.0,1200.0
SALE_16_2025,off_grade,fannings_orthodox_better,medium,810.0,960.0
SALE_16_2025,off_grade,fannings_orthodox_better,low,770.0,900.0
SALE_16_2025,off_grade,fannings_ctc_better,high,830.0,
SALE_16_2025,off_grade,fannings_ctc_better,medium,840.0,890.0
SALE_16_2025,off_grade,fannings_ctc_better,low,830.0,1220.0
SALE_16_2025,off_grade,fannings_orthodox_other,high,700.0,790.0
SALE_16_2025,off_grade,fannings_orthodox_other,medium,670.0,800.0
SALE_16_2025,off_grade,fannings_orthodox_other,low,640.0,760.0
SALE_16_2025,off_grade,fannings_ctc_other,high,,
SALE_16_2025,off_grade,fannings_ctc_other,medium,750.0,810.0
SALE_16_2025,off_grade,fannings_ctc_other,low,700.0,780.0
SALE_16_2025,off_grade,brokens_good,high,870.0,1080.0
SALE_16_2025,off_grade,brokens_good,medium,860.0,1100.0
SALE_16_2025,off_grade,brokens_good,low,850.0,1280.0
SALE_16_2025,off_grade,brokens_other,high,790.0,840.0
SALE_16_2025,off_grade,brokens_other,medium,750.0,850.0
SALE_16_2025,off_grade,brokens_other,low,640.0,840.0
SALE_16_2025,off_grade,bop1a_better,high,940.0,960.0
SALE_16_2025,off_grade,bop1a_better,medium,940.0,1020.0
SALE_16_2025,off_grade,bop1a_better,low,940.0,1260.0
SALE_16_2025,off_grade,bop1a_other,high,900.0,920.0
SALE_16_2025,off_grade,bop1a_other,medium,850.0,920.0
SALE_16_2025,off_grade,bop1a_other,low,830.0,920.0
SALE_16_2025,dust,primary_orth_better,high,1150.0,1750.0
SALE_16_2025,dust,primary_orth_better,medium,1020.0,1100.0
SALE_16_2025,dust,primary_orth_better,low,950.0,1000.0
SALE_16_2025,dust,primary_ctc_better,high,1040.0,1100.0
SALE_16_2025,dust,primary_ctc_better,medium,1100.0,1340.0
SALE_16_2025,dust,primary_ctc_better,low,1140.0,420.0
SALE_16_2025,dust,primary_orth_below_best,high,1020.0,1140.0
SALE_16_2025,dust,primary_orth_below_best,medium,880.0,1000.0
SALE_16_2025,dust,primary_orth_below_best,low,780.0,940.0
SALE_16_2025,dust,primary_ctc_other,high,820.0,1020.0
SALE_16_2025,dust,primary_ctc_other,medium,720.0,1080.0
SALE_16_2025,dust,primary_ctc_other,low,800.0,1120.0
SALE_16_2025,dust,primary_orth_other,high,720.0,1000.0
SALE_16_2025,dust,primary_orth_other,medium,690.0,860.0
SALE_16_2025,dust,primary_orth_other,low,680.0,760.0
SALE_16_2025,dust,secondary_better,high,1000.0,1060.0
SALE_16_2025,dust,secondary_better,medium,,
SALE_16_2025,dust,secondary_better,low,850.0,920.0
SALE_16_2025,dust,secondary_other,high,700.0,980.0
SALE_16_2025,dust,secondary_other,medium,670.0,780.0
SALE_16_2025,dust,secondary_other,low,680.0,840.0
SALE_18_2025,off_grade,fannings_orthodox_better,high,800.0,1140.0
SALE_18_2025,off_grade,fannings_orthodox_better,medium,790.0,940.0
SALE_18_2025,off_grade,fannings_orthodox_better,low,800.0,900.0
SALE_18_2025,off_grade,fannings_ctc_better,high,,
SALE_18_2025,off_grade,fannings_ctc_better,medium,,
SALE_18_2025,off_grade,fannings_ctc_better,low,840.0,1160.0
SALE_18_2025,off_grade,fannings_orthodox_other,high,650.0,790.0
SALE_18_2025,off_grade,fannings_orthodox_other,medium,660.0,780.0
SALE_18_2025,off_grade,fannings_orthodox_other,low,700.0,790.0
SALE_18_2025,off_grade,fannings_ctc_other,high,770.0,
SALE_18_2025,off_grade,fannings_ctc_other,medium,720.0,770.0
SALE_18_2025,off_grade,fannings_ctc_other,low,680.0,750.0
SALE_18_2025,off_grade,brokens_good,high,880.0,1160.0
SALE_18_2025,off_grade,brokens_good,medium,880.0,1080.0
SALE_18_2025,off_grade,brokens_good,low,880.0,1180.0
SALE_18_2025,off_grade,brokens_other,high,810.0,860.0
SALE_18_2025,off_grade,brokens_other,medium,750.0,870.0
SALE_18_2025,off_grade,brokens_other,low,740.0,870.0
SALE_18_2025,off_grade,bop1a_better,high,920.0,960.0
SALE_18_2025,off_grade,bop1a_better,medium,900.0,960.0
SALE_18_2025,off_grade,bop1a_better,low,900.0,1300.0
SALE_18_2025,off_grade,bop1a_other,high,860.0,900.0
SALE_18_2025,off_grade,bop1a_other,medium,790.0,880.0
SALE_18_2025,off_grade,bop1a_other,low,840.0,890.0
SALE_18_2025,dust,primary_orth_better,high,1120.0,1600.0
SALE_18_2025,dust,primary_orth_better,medium,980.0,1060.0
SALE_18_2025,dust,primary_orth_better,low,,
SALE_18_2025,dust,primary_ctc_better,high,1000.0,1020.0
SALE_18_2025,dust,primary_ctc_better,medium,1040.0,
SALE_18_2025,dust,primary_ctc_better,low,1100.0,1440.0
SALE_18_2025,dust,primary_orth_below_best,high,950.0,1100.0
SALE_18_2025,dust,primary_orth_below_best,medium,830.0,960.0
SALE_18_2025,dust,primary_orth_below_best,low,760.0,870.0
SALE_18_2025,dust,primary_ctc_other,high,780.0,980.0
SALE_18_2025,dust,primary_ctc_other,medium,700.0,1000.0
SALE_18_2025,dust,primary_ctc_other,low,900.0,1060.0
SALE_18_2025,dust,primary_orth_other,high,760.0,940.0
SALE_18_2025,dust,primary_orth_other,medium,710.0,820.0
SALE_18_2025,dust,primary_orth_other,low,660.0,750.0
SALE_18_2025,dust,secondary_better,high,960.0,1000.0
SALE_18_2025,dust,secondary_better,medium,800.0,860.0
SALE_18_2025,dust,secondary_better,low,860.0,900.0
SALE_18_2025,dust,secondary_other,high,650.0,940.0
SALE_18_2025,dust,secondary_other,medium,640.0,780.0
SALE_18_2025,dust,secondary_other,low,650.0,850.0
SALE_22_2025,off_grade,fannings_orthodox_better,high,810.0,1080.0
SALE_22_2025,off_grade,fannings_orthodox_better,medium,800.0,880.0
SALE_22_2025,off_grade,fannings_orthodox_better,low,780.0,1000.0
SALE_22_2025,off_grade,fannings_ctc_better,high,800.0,
SALE_22_2025,off_grade,fannings_ctc_better,medium,790.0,800.0
SALE_22_2025,off_grade,fannings_ctc_better,low,810.0,1180.0
SALE_22_2025,off_grade,fannings_orthodox_other,high,680.0,800.0
