Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,R2_mean,R2_std
Random Forest,197.87183240786982,30.504751520138164,134.523459510582,14.848101404162657,14.236034242710701,2.1892912812555347,0.4114566282755586,0.09167094637255407
XGBoost,202.99761782016915,27.429294242903513,139.5908104654948,16.340568371977103,14.760939131258272,2.4074075837128874,0.3789005144513654,0.09049674260340305
LightGBM,203.56457277092704,27.82465609502944,139.54844027584292,14.435640135786878,14.71775609072165,2.125215912399096,0.37410181362937234,0.10249477771809645
Gradient Boosting,205.33068866573694,29.043483717607504,143.6616663526054,16.11776168170772,15.168541934307935,2.3066149307555714,0.367731048716074,0.07220105111423017
