segment,n_folds,n_obs,rmse_unified_mean,rmse_segment_mean,pct_improvement_rmse,r2_unified_mean,r2_segment_mean,paired_t_pvalue,dm_pvalue,better_model,Forecast_Horizon
dust,5,995,196.3433920668027,201.6600377579885,-2.707830212781955,0.0771509658191992,0.012375380864534425,0.3964053205755545,0.00012180555215593033,unified,t_plus_1_week
high_grown,5,1095,248.56891028576473,251.48518544853633,-1.1732260319357444,0.07372492795617654,0.04435156619884275,0.4999197017510286,0.07520849323690278,unified,t_plus_1_week
low_grown,5,2568,716.1565147893695,714.7007544387741,0.20327404981067954,0.04139967405918408,0.04548655669625945,0.14658059493974732,0.2077154208525354,segment,t_plus_1_week
off_grade,5,987,174.59323621671118,176.20754588540558,-0.9246118026534924,-0.0628842040944243,-0.08496485435788068,0.2930055746769627,0.022410388442463902,unified,t_plus_1_week
