Segment,Weather Variable,Region,Lag 1,Lag 2,Lag 3,Lag 4
High Grown,Precipitation,Nuwara Eliya,1.04 [0.321],1.57 [0.239],1.19 [0.352],1.11 [0.404]
High Grown,Temperature,Nuwara Eliya,0.20 [0.665],0.22 [0.808],0.23 [0.871],0.70 [0.615]
High Grown,Sunshine,Nuwara Eliya,0.31 [0.583],2.38 [0.125](t),2.84 [0.079]*,2.23 [0.139](t)
Low Grown,Precipitation,Low Grown,0.62 [0.440],1.24 [0.311],1.06 [0.392],0.73 [0.590]
Low Grown,Temperature,Low Grown,0.78 [0.389],0.86 [0.442],1.64 [0.225],0.87 [0.512]
Low Grown,Sunshine,Low Grown,0.13 [0.721],0.60 [0.561],0.86 [0.483],1.86 [0.177]
Off-Grade,Precipitation,Uva/Udapussellawa,5.15 [0.033]**,3.25 [0.061]*,1.43 [0.271],0.97 [0.458]
Off-Grade,Temperature,Uva/Udapussellawa,5.68 [0.027]**,2.66 [0.099]*,1.36 [0.294],1.23 [0.354]
Off-Grade,Sunshine,Uva/Udapussellawa,1.29 [0.269],2.76 [0.088]*,1.64 [0.221],1.11 [0.393]
Dust,Precipitation,All-Region Avg,0.05 [0.823],0.54 [0.591],0.58 [0.636],0.87 [0.506]
Dust,Temperature,All-Region Avg,0.42 [0.524],0.11 [0.900],0.21 [0.888],0.41 [0.795]
Dust,Sunshine,All-Region Avg,0.17 [0.689],0.55 [0.583],1.11 [0.372],1.56 [0.244]
