Segment,Model,N_Rows,N_Rows_OOF,Eval_Scope,Forecast_Horizon,RMSE,MAE,MAPE,R2
dust,Unified,2190,1812,OOF_TimeSeriesCV,t_plus_1_week,146.3368982871809,108.71724613686536,11.946066418606744,0.45590505764852995
high_grown,Unified,2147,1787,OOF_TimeSeriesCV,t_plus_1_week,268.4232691627507,190.108943338574,19.52551816998177,-0.07037020874278888
low_grown,Unified,5435,4538,OOF_TimeSeriesCV,t_plus_1_week,420.6163094195863,222.22867369112328,13.308126370175447,0.7141372004715859
off_grade,Unified,2138,1788,OOF_TimeSeriesCV,t_plus_1_week,142.52917473366986,105.28698359433258,14.152215471071642,0.21147533132414575
