segment,n_rows,unified_rmse,unified_mae,unified_r2,unified_mape,segment_specific_rmse,rmse_difference,better_model
off_grade,97,155.9340159849458,133.2647199589394,-0.023382513737752353,16.476854068675493,,,load segment-specific results
dust,101,200.34062452866678,160.22824765534273,0.040705157309824824,17.257496978274467,,,load segment-specific results
high_grown,48,265.86006886591326,211.39836379649284,-0.03999270445168124,23.865289229052493,,,load segment-specific results
low_grown,260,625.2064006082247,343.05358202576195,0.33302823645946766,18.225002966515557,,,load segment-specific results
