Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,R2_mean,R2_std,Forecast_Horizon,RMSE_rank,R2_rank,RMSE_cv_pct,R2_cv_pct
Random Forest,310.45454153936373,79.46879537148997,174.6546276698253,24.260488091923765,14.330963430771295,1.0423438996216572,0.7625755479204364,0.0819378271227782,t_plus_1_week,1,1,25.597562521537093,10.744879946154164
XGBoost,321.12847175120737,91.900702298091,179.17304795733628,21.53413630230486,14.849548430945612,0.9997236149296953,0.744803580173852,0.10309348503136183,t_plus_1_week,2,2,28.618048657264683,13.841701057250255
LightGBM,323.0628654936783,92.68191211634051,188.3763889680451,31.832115269508325,15.550091528675091,1.4603848583918253,0.7405159625868994,0.10783235059008028,t_plus_1_week,3,3,28.688506794091477,14.561786111049047
Gradient Boosting,344.06522729996897,78.38974856960523,215.3551502209713,28.81834025157098,17.58931598723924,1.4889071238074618,0.7091799243371663,0.08379066964218475,t_plus_1_week,4,4,22.78339755073886,11.815149691455176
