Fold,Model,RMSE,MAE,MAPE,R2,n_train,n_test
1,XGBoost,338.48555773117755,173.08811788896017,13.967651649602047,0.7174116704634484,481,481
1,LightGBM,388.560062341467,203.06726111797823,15.891259818102347,0.6276166487767687,481,481
1,Gradient Boosting,273.38495924064887,159.8381900820198,14.099598508597571,0.8156584773036077,481,481
1,Random Forest,304.98934990153515,170.02325017325018,14.176643429168529,0.7705736561807456,481,481
2,XGBoost,284.22438719637074,149.21182193875066,12.147515789942727,0.8146439096644269,962,481
2,LightGBM,260.59303587629034,152.47658983006733,12.860233727244614,0.8441848099921552,962,481
2,Gradient Boosting,232.28105839332298,145.7809151961436,12.901468312815659,0.8762025282772454,962,481
2,Random Forest,205.23829655733934,124.34996534996536,10.908874262256491,0.9033501942076844,962,481
3,XGBoost,236.1296593253148,141.25855266230022,12.85968398550142,0.8709280608373795,1443,481
3,LightGBM,191.87654296151933,126.27549169017468,12.102515193477327,0.9147735254011042,1443,481
3,Gradient Boosting,221.93232865981633,143.33457587406718,13.549881618105166,0.8859824003030977,1443,481
3,Random Forest,188.11777119179277,119.81795985545986,11.340499983277658,0.9180799133439423,1443,481
4,XGBoost,201.8404986099982,136.90204974073382,14.161400661797508,0.878954452046272,1924,481
4,LightGBM,196.5805299129463,134.73977233202547,13.823973042556664,0.8851811473124094,1924,481
4,Gradient Boosting,226.08246396270857,167.82862907931204,16.566886612432903,0.8481321112662024,1924,481
4,Random Forest,196.3664883266739,134.22131265881265,13.410853344733798,0.8854310462205106,1924,481
5,XGBoost,285.3308420118045,145.46418505250293,12.09810695455746,0.7928591001205832,2405,481
5,LightGBM,320.44989710529774,153.03931033368326,12.632393941545525,0.7387305111850901,2405,481
5,Gradient Boosting,251.60103883987654,171.11692561145688,15.563475605635885,0.8389379277473961,2405,481
5,Random Forest,213.1685601645956,125.45341880341881,11.01424703001695,0.8843848555321701,2405,481
