Segment,Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,R2_mean,R2_std,Selected_Hyperparameters,RMSE_rank_in_segment,R2_rank_in_segment,RMSE_cv_pct,R2_cv_pct,Param_Combinations_Tried,Grid_Best_CV_RMSE,Grid_Worst_CV_RMSE,Grid_CV_RMSE_STD_Avg
dust,Random Forest,164.87679530124117,26.446688201835432,124.92307086614173,17.611519770618393,13.885710853922287,2.3649849348242333,0.2935698218419717,0.19637300624417994,"{""model__max_depth"": null, ""model__min_samples_split"": 2, ""model__n_estimators"": 200}",1.0,1.0,16.04027307391287,66.89141445536158,8,164.87679530124117,165.43759353126256,23.632752535534912
dust,XGBoost,165.99188963496164,26.224404099873997,125.7614805687131,19.796033639185236,14.033769774128848,2.5334408470095666,0.2858178527940581,0.18877991953206394,"{""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__n_estimators"": 200}",2.0,2.0,15.798605677388796,66.04903006814153,8,166.3064208185562,169.99220041160805,23.846595903171963
dust,Gradient Boosting,170.54502429179607,24.39989842098501,130.1333897413861,17.037982833223783,14.587076732472251,2.6002649494437535,0.24920360907493705,0.16544930180276163,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 200}",3.0,3.0,14.3070127799435,66.39121416295781,8,170.54502429179607,180.8946620931489,21.34050058058159
dust,LightGBM,171.613744567826,24.963226131801154,129.72660121123036,15.968056319706333,14.593489265065784,2.33235771475171,0.23730747958156445,0.18342843147315263,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 300, ""model__num_leaves"": 31}",4.0,4.0,14.546169477663875,77.29568060669021,8,171.613744567826,172.09894625485748,22.94732073701415
high_grown,Random Forest,240.95946636979346,28.520338259339795,163.99674368842363,15.563697743825248,17.40928932718443,3.4930839243306533,0.2348685722001746,0.10653322025143971,"{""model__max_depth"": null, ""model__min_samples_split"": 2, ""model__n_estimators"": 200}",1.0,1.0,11.836155968062473,45.35865282164836,8,240.95946636979346,241.64951118701742,25.284131561789955
high_grown,XGBoost,242.69945189125278,24.788545022183524,164.50031633048224,11.752036458672857,17.397270398031033,3.3884351081941695,0.221451311090972,0.11341628595478571,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__n_estimators"": 200}",2.0,3.0,10.21367985342242,51.21499863606335,8,240.74664840759777,247.02171449871562,23.078243002083
high_grown,Gradient Boosting,242.92207648572875,25.87791423347971,165.98862035918918,11.382302636427102,17.47784610948826,3.076892572508851,0.22264604635964041,0.09169320480595439,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 200}",3.0,2.0,10.652763473722402,41.183396833304755,8,242.92207648572875,247.7059683325262,22.358106033894096
high_grown,LightGBM,245.562853992052,23.415817443914715,168.95595444110893,13.485006707543853,17.778771268147462,3.5735661245577006,0.20246270004708986,0.11439226280710871,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 200, ""model__num_leaves"": 31}",4.0,4.0,9.535569840165078,56.50041354802773,8,245.562853992052,250.7659272299888,22.027899508523035
low_grown,XGBoost,409.3828036490574,73.01312280448171,234.5081516265869,21.377005059833724,14.096165998957474,0.8592978655693841,0.7205413109072256,0.02372152928933997,"{""model__learning_rate"": 0.05, ""model__max_depth"": 6, ""model__n_estimators"": 200}",1.0,1.0,17.834926663669066,3.2921817153651403,8,418.2528360634193,435.9485308473662,67.53015433998736
low_grown,Random Forest,410.4705877422487,61.57270199593387,237.52563124999998,16.513246382750253,14.346458743569125,1.0756304686628986,0.7171987256243452,0.017870529607191744,"{""model__max_depth"": null, ""model__min_samples_split"": 2, ""model__n_estimators"": 200}",2.0,2.0,15.000514978334548,2.491712403927497,8,410.4705877422487,415.9800662323925,59.14347696020244
low_grown,Gradient Boosting,435.64089667065036,66.89023983312917,272.3795390550421,19.43978797839842,17.03523796562645,0.7725091064417892,0.6796861315432612,0.045294434861012034,"{""model__learning_rate"": 0.03, ""model__max_depth"": 3, ""model__n_estimators"": 300}",3.0,3.0,15.354444530881356,6.664022224224109,8,435.64089667065036,492.09428211119587,63.61423655149209
low_grown,LightGBM,440.09828855926855,101.2270906995729,268.11385753982734,51.958318611977326,16.48537743852882,2.2647822105082684,0.6766015730494617,0.07380657628811127,"{""model__learning_rate"": 0.05, ""model__n_estimators"": 200, ""model__num_leaves"": 31}",4.0,4.0,23.00101893850935,10.908425168960667,8,440.09828855926855,449.6957721862178,88.40639308005106
off_grade,XGBoost,128.49853330674713,18.777584079024557,90.83719334193638,14.978397577820596,12.040756566194844,3.4977514104047023,0.3297759348821632,0.17143373568096767,"{""model__learning_rate"": 0.03, ""model__max_depth"": 6, ""model__n_estimators"": 200}",1.0,1.0,14.613072691031714,51.98491386044437,8,129.55335609171004,134.08740271981702,18.71335402583741
off_grade,Random Forest,129.63677283048776,17.848343516248793,92.11520378421223,15.11186457336713,12.117482317065148,3.5796856604833223,0.3192080318213793,0.16236775843382426,"{""model__max_depth"": 10, ""model__min_samples_split"": 2, ""model__n_estimators"": 300}",2.0,2.0,13.767963461715585,50.86581233791796,8,129.63677283048776,130.77296080489302,15.779581404017328
off_grade,LightGBM,133.00727263265316,17.60697011859704,95.47929438346857,13.070043630305241,12.587277140171228,3.145455656693302,0.28142650313602174,0.18265036317244845,"{""model__learning_rate"": 0.03, ""model__n_estimators"": 200, ""model__num_leaves"": 31}",3.0,3.0,13.237599546323263,64.90162125354915,8,133.00727263265316,135.51728074927306,17.12139572919139
off_grade,Gradient Boosting,138.37327456330544,21.70748509379473,101.6532254405324,16.717384220840625,13.447649575736108,3.653244071904754,0.2212004484644222,0.21017982268007573,"{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 200}",4.0,4.0,15.687628382215966,95.01781037929541,8,138.37327456330544,143.0076250966649,19.32132392266545
