fold,segment,n_test,rmse_unified,mae_unified,mape_unified,r2_unified,rmse_segment,mae_segment,mape_segment,r2_segment
1,dust,83,174.21833837633238,135.3662994088601,15.14792784821443,0.08664961333532206,176.76084759357397,136.19160228638103,15.544989098108294,0.05979656579189918
1,high_grown,60,290.9842665753751,198.39825665881617,28.9268033946836,-0.02712632551131544,289.4943730964646,200.84944191414652,28.889209252837915,-0.016635097929072584
1,low_grown,238,584.5411176618023,345.1313670714927,18.693269664690007,0.3350472686292516,585.5798686072945,349.0824433551372,18.958023332774193,0.3326818781541274
1,off_grade,100,170.18367793891468,144.84018971647222,19.983193223344042,-0.015317383016618003,169.65764877732232,144.4293632273976,19.861610454277926,-0.009050493724940711
2,dust,89,178.23769541240034,136.40666432556446,15.163107154027717,0.1331808379187328,177.65563794112686,136.6198746719884,15.052371747940848,0.13883300651851038
2,high_grown,104,241.46067997346307,169.16196150414922,21.142413346728627,-0.03826838585310921,243.3603953061525,169.94613340374787,21.35505307291782,-0.05467000828715385
2,low_grown,208,673.5750209924873,367.706911248901,18.840764546478646,0.3198898152469617,672.911392318581,370.5762650275407,19.077650335193887,0.321229289746489
2,off_grade,80,175.45037128474084,149.61928549653217,19.52116424715153,0.006932816071225645,174.6510796201636,149.58075894549904,19.586916186959197,0.015960352344663087
3,dust,94,234.99788722449736,185.59906809758692,23.218602192228506,0.03603585326570691,235.31753366166842,186.22980429417282,23.256135837119235,0.033411682743382354
3,high_grown,105,253.65888748910788,199.62148905929158,21.301467286907723,-0.03924464063453792,252.28580146511337,198.61170904394712,21.224654099819226,-0.028023980326104203
3,low_grown,208,696.6016434083687,399.2361712102063,20.24313083845007,0.32142370348103255,696.813765914247,395.1759873917497,19.910906643898027,0.3210103733615076
3,off_grade,74,167.85674805894106,148.1368500412986,19.046263911959137,-0.022710118120315093,168.30438644203772,148.44594632610256,19.0624996321416,-0.028172093792954822
4,dust,78,222.99189186589558,175.34146686719077,21.08944756789947,0.01140245962182107,222.0385830641306,174.33922887987194,20.97957478830463,0.01983706436874244
4,high_grown,83,253.67774210680946,196.31029834664955,21.77302539761471,-0.08131717997281362,254.4976489957719,196.92353858081208,21.945790507102167,-0.08831828417415943
4,low_grown,242,592.7346577922178,423.7502692544936,26.53354052707662,0.31833112425918375,592.3019126693949,423.95405496544845,26.54435334119285,0.31932610977045706
4,off_grade,78,171.76117445715616,152.99403829702536,21.711141187013034,-0.05097105412777858,170.9419232360164,152.03078726296386,21.466210245855756,-0.04096930676857413
5,dust,97,186.19274571565504,147.6786166264753,16.072150409184985,0.10453881037343482,186.05164589906636,147.75809566245485,16.046483053901362,0.10589548551498862
5,high_grown,68,317.50160276692367,255.29038047061326,27.14834754569858,-0.022000753171476983,317.49510517777287,254.51759081516528,27.217941129452733,-0.02195892363109353
5,low_grown,222,522.1305845255101,352.24933973084643,21.396211293194618,0.36022210187288517,521.3471608722122,351.7262948430053,21.382853684788987,0.3621405534285431
5,off_grade,94,179.1920098661398,166.46663682007608,23.907739175106272,-0.01153778290816354,179.61598318712657,166.8935728022364,23.960043137749434,-0.01633009911458494
