sale_id,elevation,grade,tier,price_lo_lkr,price_hi_lkr
SALE_2023_46,low_grown,fbopf_tippy,select_best,3600.0,4600.0
SALE_2023_46,low_grown,fbopf_tippy,best,2000.0,2500.0
SALE_2023_46,low_grown,fbopf_tippy,below_best,1700.0,1800.0
SALE_2023_46,low_grown,fbopf_tippy,others,1050.0,1100.0
SALE_2023_46,low_grown,fbopf1,select_best,1500.0,1650.0
SALE_2023_46,low_grown,fbopf1,best,1400.0,1450.0
SALE_2023_46,low_grown,fbopf1,below_best,1000.0,1150.0
SALE_2023_46,low_grown,fbopf1,others,850.0,900.0
SALE_2023_46,low_grown,fbopf,select_best,1700.0,2000.0
SALE_2023_46,low_grown,fbopf,best,1200.0,1350.0
SALE_2023_46,low_grown,fbopf,below_best,950.0,1050.0
SALE_2023_46,low_grown,fbopf,others,850.0,900.0
SALE_2023_46,low_grown,fbop1,select_best,1850.0,1900.0
SALE_2023_46,low_grown,fbop1,best,1300.0,1400.0
SALE_2023_46,low_grown,fbop1,below_best,1000.0,1100.0
SALE_2023_46,low_grown,fbop1,others,850.0,900.0
SALE_2023_46,low_grown,fbop,select_best,2200.0,2450.0
SALE_2023_46,low_grown,fbop,best,1450.0,1550.0
SALE_2023_46,low_grown,fbop,below_best,1200.0,1300.0
SALE_2023_46,low_grown,fbop,others,900.0,950.0
SALE_2023_46,low_grown,bop1,select_best,2300.0,4150.0
SALE_2023_46,low_grown,bop1,best,1800.0,2250.0
SALE_2023_46,low_grown,bop1,below_best,1000.0,1300.0
SALE_2023_46,low_grown,bop1,others,850.0,980.0
SALE_2023_46,low_grown,bopf,select_best,1250.0,1550.0
SALE_2023_46,low_grown,bopf,best,950.0,1000.0
SALE_2023_46,low_grown,bopf,below_best,750.0,800.0
SALE_2023_46,low_grown,bopf,others,700.0,750.0
SALE_2023_46,low_grown,bop,select_best,1800.0,1900.0
SALE_2023_46,low_grown,bop,best,1350.0,1500.0
SALE_2023_46,low_grown,bop,below_best,950.0,1100.0
SALE_2023_46,low_grown,bop,others,850.0,900.0
SALE_2023_46,low_grown,op1,select_best,3800.0,5000.0
SALE_2023_46,low_grown,op1,best,2350.0,3550.0
SALE_2023_46,low_grown,op1,below_best,1200.0,2300.0
SALE_2023_46,low_grown,op1,others,850.0,1180.0
SALE_2023_46,low_grown,opa,select_best,1320.0,2200.0
SALE_2023_46,low_grown,opa,best,1140.0,1300.0
SALE_2023_46,low_grown,opa,below_best,1060.0,1120.0
SALE_2023_46,low_grown,opa,others,850.0,1000.0
SALE_2023_46,low_grown,op,select_best,1440.0,1600.0
