sale_id,sale_number,sale_year,sale_month,private_sales_weekly_2026,private_sales_weekly_2025,private_sales_todate_2026,private_sales_todate_2025,public_auction_weekly_2026,public_auction_weekly_2025,public_auction_todate_2026,public_auction_todate_2025,forward_contracts_weekly_2026,forward_contracts_weekly_2025,forward_contracts_todate_2026,forward_contracts_todate_2025,total_sold_weekly_2026,total_sold_weekly_2025,total_sold_todate_2026,total_sold_todate_2025,fx_usd_2026,fx_usd_2025,fx_usd_2024,fx_gbp_2026,fx_gbp_2025,fx_gbp_2024,fx_eur_2026,fx_eur_2025,fx_eur_2024,fx_jpy_2026,fx_jpy_2025,fx_jpy_2024
SALE_2026_08,8,2026.0,February,269852.0,167044.0,1726569.0,1530286.0,4797184.0,4857288.0,33589546.0,35209524.0,46000.0,69480.0,263600.0,477896.0,5113036.0,5093812.0,35579715.0,37217706.0,305.69,291.43,308.58,411.22,366.6,388.13,358.91,303.36,330.64,1.96,1.93,2.05
SALE_2025_24,24,2025.0,June,239939.0,137771.0,5171135.0,2739030.0,5275951.0,4878445.0,115767456.0,109068419.0,50000.0,65290.0,1314831.0,807950.0,5565890.0,5081506.0,122253422.0,112615399.0,296.67,299.31,298.47,400.75,378.58,379.69,342.6,319.23,324.45,2.03,1.89,2.1
SALE_2026_12,12,2026.0,March,236059.0,273946.0,2752483.0,2540128.0,4245612.0,4173195.0,50826007.0,53019315.0,72000.0,53400.0,502560.0,714736.0,4553671.0,4500541.0,54081050.0,56274179.0,310.02,292.48,302.07,414.28,376.23,386.02,357.74,314.1,329.01,1.94,1.93,2.04
SALE_2023_42,42,2023.0,October,128888.0,107286.0,4175687.0,3430648.0,3903027.0,4581968.0,196869380.0,197969381.0,19140.0,30710.0,2029908.0,1537880.0,4051055.0,4719964.0,203074975.0,202937909.0,320.81,360.71,198.5,392.2,405.38,271.83,341.06,353.86,229.44,2.13,2.4,1.73
SALE_2024_38,38,2024.0,September,136216.0,100551.0,4763679.0,3668370.0,3604818.0,4361463.0,176352932.0,181337980.0,82030.0,13020.0,1726830.0,1951068.0,3823064.0,4475034.0,182843441.0,186957418.0,299.71,318.73,359.18,398.63,389.17,380.58,331.33,337.85,340.93,2.07,2.13,2.46
SALE_2024_25,25,2024.0,June,200011.0,72491.0,2939041.0,2454831.0,5272753.0,5630746.0,114341192.0,117025535.0,39500.0,71700.0,847450.0,1491368.0,5512264.0,5774937.0,118127683.0,120971734.0,300.54,301.32,356.06,380.07,382.63,435.04,320.98,328.46,374.97,1.87,2.09,2.61
SALE_2025_46,46,2025.0,November,285166.0,205268.0,9555326.0,5980638.0,4324792.0,4512613.0,219885799.0,215422258.0,31920.0,59000.0,2172929.0,2306856.0,4641878.0,4776881.0,231614054.0,223709752.0,304.06,286.55,323.05,397.41,362.15,403.32,349.2,302.03,352.37,1.93,1.84,2.17
SALE_2025_33,33,2025.0,August,200055.0,125050.0,6945204.0,4104102.0,4758500.0,4977433.0,161708687.0,153281441.0,24000.0,84260.0,1595231.0,1337070.0,4982555.0,5186743.0,170249122.0,158722613.0,298.47,295.08,313.99,400.81,375.51,396.43,345.88,321.01,341.81,2.01,1.99,2.15
SALE_2024_13,13,2024.0,March,116394.0,118193.0,1415478.0,1191208.0,4563258.0,4568451.0,55832052.0,53601234.0,39280.0,78960.0,308560.0,752368.0,4718932.0,4765604.0,57556090.0,55544810.0,298.45,315.84,288.74,374.78,387.49,378.93,321.1,340.5,320.34,1.96,2.4,2.33
SALE_2024_47,47,2024.0,November,215272.0,142036.0,5990642.0,4723490.0,4970232.0,4630162.0,220391370.0,219726858.0,73300.0,23000.0,2321156.0,2121908.0,5258804.0,4795198.0,228703168.0,226572256.0,286.66,324.15,361.23,357.94,410.81,430.42,298.48,355.16,371.66,1.85,2.19,2.58
SALE_2024_34,34,2024.0,August,82693.0,89419.0,4186795.0,3316390.0,5030765.0,4920806.0,158313406.0,163658340.0,96180.0,15500.0,1433250.0,1877008.0,5209638.0,5025725.0,163933451.0,168851738.0,296.36,317.96,357.93,389.53,399.24,416.05,329.29,341.98,355.29,2.03,2.16,2.56
SALE_2024_09,9,2024.0,February,120657.0,129520.0,870869.0,902663.0,4009748.0,4316121.0,37621966.0,36291555.0,30000.0,62000.0,160000.0,586128.0,4160405.0,4507641.0,38652835.0,37780346.0,306.06,357.68,200.77,386.49,428.87,271.49,330.31,376.35,227.48,2.02,2.6,1.74
SALE_2026_04,4,2026.0,January,244652.0,261282.0,607658.0,728708.0,5191743.0,5989404.0,14406293.0,14872929.0,45800.0,92420.0,109800.0,275180.0,5482195.0,6343106.0,15123751.0,15876817.0,305.83,294.18,317.35,417.42,364.6,400.88,362.28,305.15,344.85,1.97,1.88,2.16
SALE_2025_20,20,2025.0,May,217149.0,133915.0,4318223.0,2228077.0,6143399.0,5056401.0,93384278.0,87682014.0,40000.0,39240.0,1149871.0,588940.0,6400548.0,5229556.0,98852372.0,90499031.0,295.44,294.92,299.19,399.64,373.54,370.97,335.02,319.39,321.86,2.06,1.88,2.15
SALE_2025_16,16,2025.0,April,229241.0,116397.0,3440308.0,1415481.0,5173236.0,4450126.0,71521131.0,69451163.0,57520.0,40125.0,964336.0,309405.0,5459997.0,4606648.0,75925775.0,71176049.0,295.39,297.0,313.26,391.03,366.25,390.76,333.44,315.26,345.79,2.04,1.91,2.32
