Fold,Model,RMSE,MAE,MAPE,R2,n_train,n_test
1,XGBoost,149.29365856496077,101.78304866486532,8.110279640975815,0.9602092686476782,1959,1956
1,LightGBM,161.90010314847834,104.1559930284041,8.27735011379978,0.9532056466010799,1959,1956
1,Gradient Boosting,160.37425071296627,108.06453889242178,8.319725675002887,0.9540835313034804,1959,1956
1,Random Forest,164.40461516642338,101.49999829584188,7.548708907560191,0.9517466789138744,1959,1956
2,XGBoost,159.62352545641906,76.4945054941626,5.667160312162352,0.9362408131748976,3915,1956
2,LightGBM,136.86657409280048,73.4157065994813,5.655999880377002,0.9531247317816642,3915,1956
2,Gradient Boosting,142.92761549748477,81.74235078792344,6.522871953457061,0.9488811271494186,3915,1956
2,Random Forest,140.9453371740175,70.82824471710974,5.340548242754769,0.9502892405112049,3915,1956
3,XGBoost,111.19238423658072,75.91117340899197,6.617357231245689,0.9608860700614108,5871,1956
3,LightGBM,116.13528489676972,78.52330977067962,6.757872689599543,0.9573312669673848,5871,1956
3,Gradient Boosting,114.40534577391436,80.95421494925729,7.208450753834743,0.9585929773169115,5871,1956
3,Random Forest,109.6073094293946,74.7472477845944,6.463574425220685,0.9619932790380655,5871,1956
4,XGBoost,159.82808878453758,80.56605897993154,6.222935209485844,0.9311724886618464,7827,1956
4,LightGBM,153.58941533633015,78.28642055936673,6.266739614321808,0.9364407990734764,7827,1956
4,Gradient Boosting,155.90721398329242,86.81392016984309,6.946418525671881,0.9345079965553558,7827,1956
4,Random Forest,158.28053354717147,80.56867075664621,6.561699519948809,0.9324988976447021,7827,1956
5,XGBoost,129.63709622227614,83.45980547883515,7.477516484151183,0.9514312328598215,9783,1956
5,LightGBM,121.2778429265644,82.41517028894883,7.512593356760143,0.957492905726843,9783,1956
5,Gradient Boosting,127.10374922556676,88.90263143369604,8.252522273300753,0.9533109311106944,9783,1956
5,Random Forest,138.17676345227468,85.87475460122698,7.695386592150147,0.944821673816237,9783,1956
