Catalogue,Best_ML,Best_ML_RMSE,Persistence_RMSE,RMSE_improvement_pct,Best_ML_R2,Persistence_R2
High Grown,LightGBM,167.02,250.44,33.31,0.448,-0.2411
Low Grown,LightGBM,145.43,79.76,-82.35,0.9653,0.9896
Off-Grade,LightGBM,102.15,188.39,45.78,0.5109,-0.6636
Dust,XGBoost,114.82,241.29,52.42,0.6329,-0.6214
Pooled (Unified),LightGBM,139.17,176.98,21.36,0.9516,0.9217
