Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,R2_mean,R2_std
LightGBM,159.97409477934667,48.38444854251195,102.720651771358,20.177918423608283,8.60053218999055,1.6736769699813676,0.46053195243347866,0.21805318896513876
XGBoost,160.21690408669627,47.90099718918049,98.33839647330913,18.473188194715313,8.201037937472204,1.65138352196691,0.45546451261776744,0.22421339547109922
Gradient Boosting,163.43356572206432,51.37304477041526,101.55877997234658,17.92194501263803,8.449320327476268,1.2853681203772074,0.4297566562386527,0.26268110725420085
Random Forest,170.22043515280546,55.32840723472494,103.37826251180358,28.677564189632374,8.582228714404868,2.4649072434478128,0.35376236671166134,0.40201459861976974
