Catalogue,Model_Type,Model,N_OOF,RMSE,MAE,MAPE,R2
dust,Unified,LightGBM,1792,100.75630173959563,72.28642037711663,7.23077263136223,0.7168714671739902
dust,Segment-Specific,Random Forest,1805,116.20514370109254,75.36395198522624,7.367909498894683,0.6239467551040103
high_grown,Segment-Specific,LightGBM,1765,165.72433402817396,102.720651771358,8.600532189990549,0.45652393897189614
high_grown,Unified,LightGBM,1773,175.81460323047338,103.65469243743507,8.776858387615896,0.3905706251546539
low_grown,Segment-Specific,LightGBM,4440,143.74514298536064,74.48630385286,4.101099304789893,0.9661092868991209
low_grown,Unified,LightGBM,4448,146.62129265649523,79.25357697992571,4.528522481681605,0.9647225593588009
off_grade,Segment-Specific,LightGBM,1760,102.56420385656519,77.81966328389534,9.59335489720267,0.5069185094284869
off_grade,Unified,LightGBM,1767,107.93069557692553,84.55982154432574,10.618349963632664,0.45699296385717725
