Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,R2_mean,R2_std
LightGBM,101.35359408188484,17.566476575268933,77.81966328389532,14.024051138324529,9.59335489720267,2.2982405505221797,0.4836638542671716,0.1671714872649832
XGBoost,101.93359699945117,17.234839905323255,80.40068009116433,14.959042018119797,9.970899480735332,2.624598938547163,0.4831246385553193,0.13533540859699228
Random Forest,103.42191302118572,18.32308048143436,81.1010359848485,15.362498245554779,10.103365299299542,2.7520373487298175,0.4676376577635685,0.14427191372162426
Gradient Boosting,106.32822613473454,18.063933228058087,82.44866809398351,15.823501228285958,10.228689250663422,2.824776970007123,0.44145299656932624,0.12887871350477018
