Segment,Gradient Boosting,LightGBM,Random Forest,XGBoost
dust,166.3600196956592,161.1378606303222,158.30027940364613,155.88683618656992
high_grown,232.3842977696526,227.73708502437145,225.0651428890792,232.7533306526512
low_grown,263.3409889850749,331.8206264454297,283.19215850968993,408.8128178960245
off_grade,156.53361199856874,150.4188816961835,145.1117642884247,147.054874764079
