Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,R2_mean,R2_std,RMSE_rank,R2_rank,RMSE_cv_pct,R2_cv_pct
Random Forest,221.57609322838735,47.56670341191582,134.77318136818138,20.38401313992769,12.170223609890686,1.5149759038282986,0.8723639330970105,0.058580311803158494,1,1,21.46743482966229,6.715123078872646
Gradient Boosting,241.05636981927464,21.349945176874733,157.57984716859988,12.60488681108924,14.536262131517438,1.5012308092353912,0.8529826889795098,0.028469378654531013,2,2,8.856826804818004,3.337626779810874
XGBoost,269.20218897493316,52.24312064915329,149.18494545664956,14.132441955988213,13.046871808280233,0.9790359234833159,0.814959438626422,0.06563524207500007,3,3,19.406647786960573,8.053804761820462
LightGBM,271.61201363950414,83.92090273288564,153.91968506078578,29.792668121524304,13.462075144585295,1.4942301962521622,0.8020973285335055,0.11814087303745066,4,4,30.897345669057664,14.728994703604185
