Segment,Model,N_Rows,RMSE,MAE,MAPE,R2
dust,Unified,523,52.42947246097987,35.119821542383676,4.072708427371551,0.9358857871050669
high_grown,Unified,516,77.67367848542622,54.18281653746771,6.118802490305805,0.911577720206071
low_grown,Unified,1348,48.55944456682737,25.556064540059346,1.5753518544283374,0.9957989094483659
off_grade,Unified,499,48.5329139889446,34.2807949231797,4.868817259856245,0.9176532066489133
