params,mean_test_score,std_test_score,rank_test_score,Segment,Model,mean_test_RMSE
"{'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__n_estimators': 400, 'model__subsample': 0.8}",-239.67859899542955,38.76761088871149,24,high_grown,XGBoost,239.67859899542955
"{'model__learning_rate': 0.1, 'model__max_depth': 7, 'model__n_estimators': 400, 'model__subsample': 1.0}",-248.24877609516233,43.95009304000976,36,high_grown,XGBoost,248.24877609516233
"{'model__learning_rate': 0.03, 'model__n_estimators': 200, 'model__num_leaves': 31, 'model__subsample': 0.8}",-230.6975457789336,39.22214990977001,1,high_grown,LightGBM,230.6975457789336
"{'model__learning_rate': 0.03, 'model__n_estimators': 200, 'model__num_leaves': 31, 'model__subsample': 1.0}",-230.6975457789336,39.22214990977001,1,high_grown,LightGBM,230.6975457789336
"{'model__learning_rate': 0.03, 'model__n_estimators': 200, 'model__num_leaves': 63, 'model__subsample': 0.8}",-230.6975457789336,39.22214990977001,1,high_grown,LightGBM,230.6975457789336
"{'model__learning_rate': 0.03, 'model__n_estimators': 200, 'model__num_leaves': 63, 'model__subsample': 1.0}",-230.6975457789336,39.22214990977001,1,high_grown,LightGBM,230.6975457789336
"{'model__learning_rate': 0.03, 'model__n_estimators': 400, 'model__num_leaves': 31, 'model__subsample': 0.8}",-236.5885688867871,37.68907172354085,9,high_grown,LightGBM,236.5885688867871
"{'model__learning_rate': 0.03, 'model__n_estimators': 400, 'model__num_leaves': 31, 'model__subsample': 1.0}",-236.5885688867871,37.68907172354085,9,high_grown,LightGBM,236.5885688867871
"{'model__learning_rate': 0.03, 'model__n_estimators': 400, 'model__num_leaves': 63, 'model__subsample': 0.8}",-236.5885688867871,37.68907172354085,9,high_grown,LightGBM,236.5885688867871
"{'model__learning_rate': 0.03, 'model__n_estimators': 400, 'model__num_leaves': 63, 'model__subsample': 1.0}",-236.5885688867871,37.68907172354085,9,high_grown,LightGBM,236.5885688867871
"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'model__num_leaves': 31, 'model__subsample': 0.8}",-235.29825161994512,34.92646885877795,5,high_grown,LightGBM,235.29825161994512
"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'model__num_leaves': 31, 'model__subsample': 1.0}",-235.29825161994512,34.92646885877795,5,high_grown,LightGBM,235.29825161994512
"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'model__num_leaves': 63, 'model__subsample': 0.8}",-235.29825161994512,34.92646885877795,5,high_grown,LightGBM,235.29825161994512
"{'model__learning_rate': 0.05, 'model__n_estimators': 200, 'model__num_leaves': 63, 'model__subsample': 1.0}",-235.29825161994512,34.92646885877795,5,high_grown,LightGBM,235.29825161994512
"{'model__learning_rate': 0.05, 'model__n_estimators': 400, 'model__num_leaves': 31, 'model__subsample': 0.8}",-241.5790555056955,35.33350842805834,13,high_grown,LightGBM,241.5790555056955
"{'model__learning_rate': 0.05, 'model__n_estimators': 400, 'model__num_leaves': 31, 'model__subsample': 1.0}",-241.5790555056955,35.33350842805834,13,high_grown,LightGBM,241.5790555056955
"{'model__learning_rate': 0.05, 'model__n_estimators': 400, 'model__num_leaves': 63, 'model__subsample': 0.8}",-241.5790555056955,35.33350842805834,13,high_grown,LightGBM,241.5790555056955
"{'model__learning_rate': 0.05, 'model__n_estimators': 400, 'model__num_leaves': 63, 'model__subsample': 1.0}",-241.5790555056955,35.33350842805834,13,high_grown,LightGBM,241.5790555056955
"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'model__num_leaves': 31, 'model__subsample': 0.8}",-244.61950363454858,37.4931863838975,17,high_grown,LightGBM,244.61950363454858
"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'model__num_leaves': 31, 'model__subsample': 1.0}",-244.61950363454858,37.4931863838975,17,high_grown,LightGBM,244.61950363454858
"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'model__num_leaves': 63, 'model__subsample': 0.8}",-244.61950363454858,37.4931863838975,17,high_grown,LightGBM,244.61950363454858
"{'model__learning_rate': 0.1, 'model__n_estimators': 200, 'model__num_leaves': 63, 'model__subsample': 1.0}",-244.61950363454858,37.4931863838975,17,high_grown,LightGBM,244.61950363454858
"{'model__learning_rate': 0.1, 'model__n_estimators': 400, 'model__num_leaves': 31, 'model__subsample': 0.8}",-247.39024136159713,37.09847380120511,21,high_grown,LightGBM,247.39024136159713
"{'model__learning_rate': 0.1, 'model__n_estimators': 400, 'model__num_leaves': 31, 'model__subsample': 1.0}",-247.39024136159713,37.09847380120511,21,high_grown,LightGBM,247.39024136159713
"{'model__learning_rate': 0.1, 'model__n_estimators': 400, 'model__num_leaves': 63, 'model__subsample': 0.8}",-247.39024136159713,37.09847380120511,21,high_grown,LightGBM,247.39024136159713
"{'model__learning_rate': 0.1, 'model__n_estimators': 400, 'model__num_leaves': 63, 'model__subsample': 1.0}",-247.39024136159713,37.09847380120511,21,high_grown,LightGBM,247.39024136159713
"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__n_estimators': 100}",-232.9252607304164,37.83008504185854,1,high_grown,Gradient Boosting,232.9252607304164
"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__n_estimators': 200}",-235.50070035913504,42.10182075790164,4,high_grown,Gradient Boosting,235.50070035913504
"{'model__learning_rate': 0.03, 'model__max_depth': 2, 'model__n_estimators': 400}",-241.6704314996651,43.38690837429826,16,high_grown,Gradient Boosting,241.6704314996651
"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 100}",-233.22954362824348,37.855120343376555,2,high_grown,Gradient Boosting,233.22954362824348
"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 200}",-240.90714098930366,40.8178657372733,13,high_grown,Gradient Boosting,240.90714098930366
"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 400}",-246.23756757437505,41.97805733721946,22,high_grown,Gradient Boosting,246.23756757437505
"{'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__n_estimators': 100}",-233.5787949762257,43.45651047553676,3,high_grown,Gradient Boosting,233.5787949762257
"{'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__n_estimators': 200}",-236.06084699265384,42.98533710985798,6,high_grown,Gradient Boosting,236.06084699265384
"{'model__learning_rate': 0.03, 'model__max_depth': 4, 'model__n_estimators': 400}",-238.75242256244087,42.974911549728105,9,high_grown,Gradient Boosting,238.75242256244087
"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 100}",-237.45657444133047,42.10836739812547,7,high_grown,Gradient Boosting,237.45657444133047
"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 200}",-242.96537938192463,43.88795972214319,17,high_grown,Gradient Boosting,242.96537938192463
"{'model__learning_rate': 0.05, 'model__max_depth': 2, 'model__n_estimators': 400}",-247.04438664537466,43.04451123053837,23,high_grown,Gradient Boosting,247.04438664537466
"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 100}",-238.82410243226295,41.47210546230779,10,high_grown,Gradient Boosting,238.82410243226295
"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 200}",-243.94567091405278,42.97625134326023,19,high_grown,Gradient Boosting,243.94567091405278
"{'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 400}",-248.50775713926765,41.8582035781269,25,high_grown,Gradient Boosting,248.50775713926765
"{'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 100}",-235.94258085587848,41.33818416209161,5,high_grown,Gradient Boosting,235.94258085587848
"{'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 200}",-241.51337180563382,41.57993288082801,15,high_grown,Gradient Boosting,241.51337180563382
"{'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 400}",-243.80449989282505,40.86011324077453,18,high_grown,Gradient Boosting,243.80449989282505
"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 100}",-245.03930378377413,45.183400113875265,21,high_grown,Gradient Boosting,245.03930378377413
"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 200}",-248.01684659421412,43.24475558774399,24,high_grown,Gradient Boosting,248.01684659421412
"{'model__learning_rate': 0.1, 'model__max_depth': 2, 'model__n_estimators': 400}",-254.8709555343249,38.13009483569132,27,high_grown,Gradient Boosting,254.8709555343249
"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100}",-239.33490888075735,40.48717375695232,11,high_grown,Gradient Boosting,239.33490888075735
"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 200}",-244.13428608818782,39.9935981060795,20,high_grown,Gradient Boosting,244.13428608818782
"{'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 400}",-248.8759639540634,38.88626141570712,26,high_grown,Gradient Boosting,248.8759639540634
"{'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 100}",-237.92727767541342,45.19705715502162,8,high_grown,Gradient Boosting,237.92727767541342
"{'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 200}",-240.5810946064261,44.337218245443744,12,high_grown,Gradient Boosting,240.5810946064261
"{'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 400}",-241.4068525170842,43.79326976268121,14,high_grown,Gradient Boosting,241.4068525170842
"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",-228.395027358712,39.77903465963863,10,high_grown,Random Forest,228.395027358712
